hoop_schwiz;80 (24);0:1 2;0:1 0;2:0 0;3:1 22;2:2 0;1:0 2;2:0 2;0:0 0;0:1 3;2:1 0;0:1 2;2:0 2;0:0 0;1:1 0;1:0 2;0:0 0;0:2 2;1:0 2;1:1 0;1:0 0;2:0 0;0:2 0;2:0 0;3:0 02;1:0 2;2:0 2;0:2 2;0:0 0;1:1 0;0:3 22;1:0 2;0:2 2;0:1 2;1:0 3;0:1 0;0:1 0;1:0 0;2:0 22;2:0 0;1:0 5;2:0 0;2:0 02;2:0 5;1:0 0;5:4 0;1:0 0;1:0 02;1:0 0;1:0 2;4:5 0
jolszewski;99 (24);1:2 2;1:2 0;2:0 0;1:0 2;2:1 3;3:0 2;2:1 3;1:2 2;2:0 02;1:0 0;0:2 2;3:1 2;1:2 3;1:0 0;2:1 2;2:1 5;1:2 5;2:1 2;1:0 5;1:0 0;2:0 0;0:2 0;2:1 0;3:1 02;1:1 0;2:0 2;0:2 2;1:1 0;1:2 2;0:2 5;1:0 2;1:2 3;0:2 22;1:2 0;1:2 0;1:0 0;2:1 0;2:0 2;2:0 02;2:1 3;0:1 2;3:1 02;3:2 2;0:1 3;2:1 0;1:0 0;2:3 3;2:1 0;0:1 0;2:0 2
Justyna;123 (26);0:1 2;1:2 0;3:0 0;3:1 2;2:1 32;1:1 0;2:1 3;1:1 0;2:0 0;2:1 0;0:2 22;2:1 3;0:1 5;0:1 2;1:0 2;1:0 3;0:2 2;2:0 5;1:0 5;1:1 5;3:0 02;0:2 0;0:1 2;2:0 0;1:0 2;1:0 5;0:2 2;1:0 0;1:2 2;0:2 5;1:0 2;1:2 3;0:2 2;1:2 0;0:1 0;2:0 0;0:1 2;3:0 22;1:0 0;2:1 3;0:1 2;1:0 0;1:0 2;1:0 02;1:3 3;2:1 0;0:1 3;0:2 22;1:0 2;1:0 32
Kamil_pwr;111 (26);0:1 2;0:1 0;2:0 0;1:0 2;1:0 5;1:0 2;1:0 3;1:1 0;1:0 0;2:0 0;0:2 2;1:0 5;0:1 5;1:1 0;1:0 2;2:0 22;0:1 3;2:0 5;1:0 5;1:0 0;2:0 0;0:2 02;1:0 0;2:0 0;1:0 2;2:0 2;0:3 5;1:1 0;0:2 2;0:2 5;1:0 2;0:0 0;0:1 2;0:1 0;0:1 0;2:0 02;--;2:0 22;2:0 0;2:1 3;0:1 2;1:0 02;1:2 0;1:2 5;1:0 0;2:1 0;0:2 22;0:2 2;2:0 3;1:0 32
KasiaSokalska;102 (22);1:3 2;1:1 5;1:0 0;2:1 2;2:1 32;1:1 0;2:1 3;0:2 5;1:1 0;2:2 3;0:2 2;2:2 0;0:2 2;2:0 0;2:1 22;1:0 3;0:2 2;2:0 5;2:0 2;2:1 0;2:0 0;0:2 0;1:1 02;2:1 0;1:0 2;2:0 2;0:2 2;2:1 0;2:0 0;1:2 2;2:1 2;1:1 0;0:2 2;1:2 0;1:2 0;2:0 0;1:2 2;3:1 22;2:0 0;3:2 3;2:1 0;2:0 0;1:2 0;1:0 02;1:3 32;2:1 0;1:2 5;1:3 2;2:1 2;2:1 5
KSU;98 (22);0:2 2;1:1 5;2:0 0;3:1 2;1:1 0;1:0 2;2:0 2;1:1 0;2:1 0;1:0 0;0:3 5;1:1 0;1:1 0;1:0 0;2:0 22;2:1 5;1:2 5;3:0 22;1:0 5;2:0 0;3:0 02;0:3 0;0:1 2;4:0 0;1:1 0;1:0 5;0:4 2;0:0 0;0:1 2;0:2 5;2:0 3;0:3 2;0:2 2;1:0 3;1:2 0;2:1 0;1:2 2;2:0 2;2:0 0;2:1 3;1:1 0;3:0 0;0:1 0;2:0 0;1:0 0;1:0 0;1:0 0;0:2 2;0:1 0;2:0 2
kynniu1;90 (18);1:3 2;1:2 0;1:1 0;3:1 22;3:0 2;2:1 2;2:0 2;1:1 0;2:1 0;2:0 0;0:3 5;0:2 0;0:1 5;0:2 5;2:0 2;2:0 2;0:2 2;2:0 5;2:1 3;2:1 0;2:0 0;0:3 02;1:2 2;2:1 0;1:1 0;2:0 2;0:2 2;1:1 0;1:0 0;0:3 2;2:0 3;1:1 0;0:3 2;0:2 0;1:1 3;3:0 02;2:1 0;2:0 2;2:1 0;2:1 32;1:2 2;2:1 02;1:2 0;2:1 0;1:3 3;2:1 02;2:1 0;1:2 2;2:1 22;2:1 5
Lesny;94 (22);0:2 2;0:1 0;3:0 0;1:0 2;1:0 5;2:0 3;1:1 0;1:1 0;2:1 0;2:0 0;0:1 2;1:1 0;0:2 2;0:2 5;2:0 22;3:1 2;1:1 0;1:0 2;0:0 02;2:1 0;2:0 0;0:2 0;1:2 2;3:0 02;1:0 2;1:1 0;0:2 2;1:1 0;0:2 2;0:2 5;0:1 0;1:1 0;0:1 2;3:0 2;1:2 0;2:0 0;1:2 2;2:0 22;1:0 0;2:1 3;0:1 2;2:0 0;1:3 02;3:5 2;0:1 2;1:2 5;1:3 2;0:2 22;1:0 2;2:1 5
maczug;47 (24);0:2 2;0:1 0;1:0 0;1:0 2;1:0 5;1:0 2;1:0 3;0:0 0;1:0 0;2:0 0;0:2 2;1:1 0;0:1 5;1:0 0;1:0 2;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Marcin_DSS;93 (18);0:2 2;1:2 0;2:0 0;3:0 5;1:2 0;1:0 2;2:1 3;0:1 2;2:0 0;3:0 0;0:2 2;1:1 0;--;0:1 2;2:0 2;3:0 2;0:2 2;2:1 2;1:0 5;1:0 0;1:0 0;0:3 02;1:2 2;3:0 0;2:0 3;2:0 2;0:3 52;2:1 0;0:2 2;0:3 22;0:1 0;0:1 5;0:2 2;0:2 0;2:3 0;2:0 0;1:2 2;2:0 22;--;2:1 3;2:1 0;2:0 0;1:2 0;1:0 0;2:1 02;1:0 0;0:1 3;0:2 2;1:0 2;2:3 02
megarozkminiacz;108 (24);0:0 0;0:1 0;1:0 0;1:1 0;0:0 0;2:0 3;1:0 3;0:0 0;1:1 0;1:0 0;0:2 2;0:0 0;0:1 5;2:1 0;2:1 2;2:1 5;0:2 22;2:1 2;1:0 5;2:1 0;2:0 0;0:2 02;1:1 0;2:0 0;1:2 0;2:0 22;0:2 2;1:1 0;1:1 0;0:2 5;1:0 2;1:2 3;0:2 2;1:2 0;1:2 0;1:0 0;1:0 0;1:0 3;1:0 0;1:0 5;1:2 2;2:0 0;1:0 22;1:2 52;1:2 2;1:2 5;2:0 0;1:2 22;1:0 2;2:1 52
MichalSarna;99 (20);0:2 2;1:1 5;2:1 0;2:1 2;1:1 0;2:0 3;0:1 0;0:1 2;1:1 0;3:1 0;0:3 5;1:1 0;1:1 0;2:1 0;2:1 2;2:0 22;1:3 2;3:1 3;2:1 3;2:1 0;2:0 0;1:3 0;1:1 0;4:0 0;1:2 02;2:1 3;0:3 5;1:0 0;0:1 2;0:3 22;2:1 2;2:1 0;0:2 2;1:1 0;1:1 3;3:2 0;1:2 22;3:0 2;3:1 0;3:2 3;1:0 0;0:1 32;5:6 0;2:1 0;2:1 0;1:2 5;1:2 5;1:0 02;3:1 32;1:2 0
neseq;103 (26);0:2 2;0:1 0;2:0 0;3:1 2;2:0 22;1:1 0;2:1 3;--;1:1 02;3:1 0;0:2 2;1:1 0;0:0 0;1:1 0;3:1 2;2:0 22;0:2 2;3:1 3;--;1:1 5;2:0 0;0:2 0;1:2 2;1:1 5;1:0 2;2:0 2;0:2 2;2:1 0;0:1 2;0:2 5;2:0 3;0:0 0;0:2 2;0:1 0;1:2 0;2:0 0;1:2 2;2:0 22;2:1 02;2:0 2;1:3 3;2:0 0;1:2 0;1:0 0;1:0 0;1:2 5;0:1 3;0:2 22;2:0 3;1:0 32
NiggusIsBack;95 (16);0:1 2;1:1 5;2:1 0;2:0 2;2:1 3;1:0 2;2:1 3;0:0 0;1:1 0;1:0 0;0:2 2;1:2 0;0:2 2;2:0 0;2:1 2;2:1 5;0:2 2;2:0 5;2:0 2;2:1 0;1:1 3;0:2 0;2:2 0;3:0 0;1:0 2;3:1 2;0:4 22;1:1 0;1:3 2;0:2 52;2:1 2;1:1 0;0:2 2;1:2 0;0:1 0;3:1 02;5:6 2;1:0 3;2:1 0;3:1 2;1:2 2;2:1 02;1:2 0;3:1 02;1:2 2;2:1 0;3:1 0;1:2 22;2:1 2;2:1 52
PanJanusz;124 (24);0:2 2;0:1 0;2:0 0;2:1 2;1:0 5;1:0 2;1:0 3;0:1 2;2:0 0;2:0 02;0:1 2;1:0 5;0:1 5;1:0 0;2:0 22;2:0 2;0:2 2;2:0 5;2:0 2;1:1 5;2:0 0;0:2 02;1:2 2;3:1 0;2:1 2;3:0 2;0:2 2;0:1 5;1:2 2;0:2 5;2:1 2;0:1 5;0:2 2;0:1 0;1:2 0;2:0 0;0:1 2;2:0 22;1:0 0;3:1 2;0:1 22;2:0 0;1:2 0;1:0 0;1:2 2;0:2 2;0:1 3;0:2 22;2:1 2;2:0 22
PatrykW;92 (18);0:1 2;1:3 0;2:0 02;2:2 0;--;2:0 3;0:0 0;0:2 5;1:1 0;2:0 0;0:3 52;1:1 0;0:2 2;1:0 0;2:0 2;2:0 2;2:3 3;3:1 3;2:1 3;0:2 0;3:0 0;0:3 02;1:1 0;3:1 0;2:2 0;2:0 2;0:3 5;2:1 0;0:1 2;0:1 2;2:0 3;2:1 0;1:0 0;1:0 3;0:2 0;1:1 3;2:3 2;2:0 2;0:1 2;1:0 5;0:3 2;2:0 02;1:2 0;1:0 02;2:3 2;1:0 0;2:0 0;0:2 22;2:3 02;1:2 0
PawelK007;116 (20);1:2 2;1:3 0;2:0 0;3:1 2;1:3 0;2:0 3;2:0 2;0:2 5;2:0 02;1:0 0;0:1 22;2:2 0;0:1 5;2:1 0;1:0 22;2:1 5;0:2 2;2:0 5;1:0 5;1:0 0;2:0 0;0:3 0;1:1 0;3:0 0;2:0 3;1:1 0;0:2 2;0:1 5;0:1 2;0:2 5;2:1 2;0:1 5;0:2 2;0:1 0;1:1 3;2:0 0;0:1 2;1:0 32;2:0 02;0:1 0;1:2 2;1:0 0;1:2 0;3:2 0;0:1 2;0:2 2;1:2 5;0:2 22;2:1 22;1:4 0
peyter;86 (16);0:2 2;0:1 0;2:1 0;3:0 5;2:1 3;2:0 3;2:1 3;1:1 0;2:1 0;2:1 0;0:2 2;2:1 3;0:2 2;1:1 0;3:1 22;--;1:3 2;3:2 2;2:2 0;2:0 0;2:0 02;0:3 0;2:1 0;0:1 0;2:1 2;3:0 2;0:2 2;1:1 0;1:2 2;0:2 5;1:1 02;0:2 2;0:2 2;0:2 0;2:3 0;2:0 0;1:2 2;3:1 22;3:0 02;2:1 3;0:1 2;3:2 0;2:3 0;3:0 0;2:4 5;1:0 0;0:3 22;0:3 2;3:2 2;2:3 02
Piotrek;108 (26);1:2 2;0:1 0;2:0 0;3:1 2;1:0 5;1:1 0;1:1 0;1:0 0;1:0 0;2:1 0;0:3 5;2:0 2;0:1 5;1:1 0;2:0 2;2:0 2;0:2 2;3:1 3;1:0 5;0:1 0;2:0 0;0:3 02;1:1 0;2:0 0;2:0 3;3:1 2;0:3 5;1:1 02;1:1 0;1:2 2;2:0 3;1:1 0;0:2 22;2:0 2;1:2 0;4:1 0;1:2 2;2:0 2;3:1 0;3:2 3;0:1 2;2:0 0;3:2 22;2:0 02;1:3 3;2:3 3;1:2 5;0:2 2;3:1 3;3:0 2
rexio;102 (22);0:2 22;1:1 5;1:0 0;3:1 2;2:2 0;2:0 3;2:1 3;1:1 0;2:1 0;2:1 0;0:2 2;2:0 2;--;2:2 0;2:0 22;2:1 5;0:2 2;2:2 0;2:0 2;2:0 0;3:0 02;0:3 0;2:1 0;3:0 0;1:0 2;2:0 2;0:3 5;2:1 0;1:2 2;0:2 5;--;--;--;--;2:3 0;4:0 0;1:2 2;2:0 22;2:0 02;5:4 3;5:4 0;2:0 0;3:2 2;1:2 5;0:1 2;2:3 3;1:2 5;0:2 22;4:5 0;2:1 52
Roso83;123 (24);0:1 2;0:1 0;2:0 0;2:0 22;2:1 3;1:0 2;1:0 3;1:1 0;1:0 0;3:1 0;0:3 52;2:1 3;0:0 0;0:0 0;3:0 52;1:0 3;0:2 2;1:0 2;1:0 5;1:0 0;2:0 0;0:3 0;1:1 0;2:1 0;1:0 2;1:0 5;1:1 0;2:1 0;1:1 0;0:1 2;1:0 2;0:1 5;0:2 2;1:1 0;1:2 0;1:0 0;0:1 2;3:0 22;1:0 0;1:0 52;1:0 0;2:0 0;1:0 2;1:0 0;0:1 2;1:2 5;0:1 3;0:2 22;1:0 2;2:0 22
sebaldo;101 (20);0:0 0;0:1 0;1:0 0;2:0 22;1:1 0;1:0 2;1:0 32;0:0 0;2:1 0;2:1 0;0:1 22;1:1 0;0:0 0;1:0 0;1:0 2;1:0 3;1:2 5;1:0 2;1:0 5;1:1 5;2:0 0;0:2 0;0:0 0;2:0 0;1:1 0;2:0 2;0:2 2;1:1 0;0:2 2;0:2 5;1:0 2;0:0 0;0:1 2;1:0 3;1:1 3;3:1 0;1:2 2;2:0 2;2:0 02;4:3 3;5:4 0;1:0 0;1:2 0;2:1 02;1:3 3;0:1 3;1:2 5;0:2 22;2:1 2;0:1 0
sperma_szatana;110 (24);0:1 2;0:1 0;2:0 0;1:0 2;0:0 0;2:0 3;3:1 2;0:2 5;2:1 0;3:0 0;0:2 2;2:0 2;0:1 5;1:2 2;2:0 2;2:0 22;0:1 3;1:0 2;2:0 2;1:0 0;1:0 0;0:2 02;0:1 2;2:0 02;2:0 3;2:1 3;0:3 5;1:0 0;1:2 2;0:1 2;1:0 2;0:0 0;0:2 2;2:1 3;0:1 0;2:0 0;0:2 2;2:0 22;2:0 0;2:1 3;1:0 0;2:0 0;1:0 22;1:0 0;0:1 2;0:2 22;0:1 3;0:1 2;2:0 3;2:0 2
szakal;111 (22);1:2 2;1:2 0;2:1 0;2:0 22;1:1 0;2:0 3;2:0 2;1:0 0;1:0 0;2:1 0;0:3 5;1:0 5;0:2 2;1:1 0;2:0 2;2:0 2;0:3 22;3:1 3;2:0 2;1:1 5;2:0 0;0:3 02;1:1 0;2:0 0;2:0 3;2:0 2;0:2 2;1:2 3;1:2 2;0:1 2;1:0 2;0:1 5;0:2 2;1:0 3;1:2 0;3:0 0;1:2 2;2:0 22;2:0 02;2:1 3;0:1 2;2:0 0;0:1 0;2:1 0;1:2 2;0:1 3;0:2 22;0:1 2;2:1 22;1:2 0
vieviur;91 (26);0:1 2;1:2 0;2:0 0;2:0 2;1:1 0;0:1 0;2:0 2;0:0 0;1:0 0;1:0 0;0:2 2;1:0 5;0:1 5;1:1 0;2:1 2;0:0 0;1:2 5;2:1 2;2:1 3;2:1 0;3:0 02;0:3 02;1:1 0;2:0 0;2:1 2;1:0 5;0:2 2;--;1:1 0;0:1 2;0:1 0;0:2 22;0:1 2;0:1 0;0:1 0;2:0 0;--;--;--;1:2 0;0:1 2;2:0 02;2:1 2;2:1 02;0:1 2;1:2 5;0:1 3;1:2 22;2:0 32;2:1 5
Wecker;103 (22);1:2 2;0:1 0;2:1 0;1:0 2;2:1 3;1:0 2;2:0 2;0:1 2;2:1 0;2:1 0;0:1 2;1:0 5;1:1 0;1:0 0;1:0 2;1:0 3;1:2 5;2:1 2;1:1 0;1:0 0;2:0 0;0:2 02;2:1 0;0:0 3;1:0 2;2:0 2;0:2 22;2:1 0;1:1 0;0:2 5;2:1 2;1:1 0;0:3 22;0:2 0;1:2 0;2:0 0;1:2 2;2:0 22;2:1 0;1:2 0;2:1 0;3:1 02;2:1 2;1:2 5;1:2 2;0:1 3;1:2 5;0:2 22;2:1 2;2:0 22
Wojtas123456789;101 (22);0:2 2;0:2 0;2:1 0;3:1 2;3:2 3;4:0 2;4:1 2;2:1 0;2:1 0;3:1 0;0:3 5;3:2 3;1:2 3;1:2 2;3:2 2;2:0 2;--;2:2 0;2:2 0;3:1 0;2:1 0;1:3 0;2:1 0;3:2 0;2:0 3;2:0 2;0:2 2;0:2 2;0:1 2;0:2 52;2:1 2;1:3 2;0:3 22;1:2 0;1:2 0;2:1 02;0:1 2;2:1 5;2:1 0;1:2 0;1:2 2;2:1 02;2:1 2;2:0 02;1:2 2;2:3 3;0:2 2;0:2 22;1:0 2;1:0 32
yacoi;86 (14);0:3 5;1:1 5;2:0 0;2:0 2;2:2 0;0:0 0;2:1 3;1:0 0;1:2 5;1:0 0;0:2 2;2:0 2;0:2 2;1:1 0;3:0 52;2:0 22;0:3 2;2:1 2;0:1 0;1:0 0;3:0 02;0:1 0;1:0 0;2:1 0;0:1 0;2:0 2;0:2 2;1:0 0;1:0 0;0:2 5;1:0 2;0:0 0;0:1 2;1:2 0;2:0 0;2:0 0;0:1 2;2:0 2;2:0 02;3:1 2;0:1 2;1:0 02;1:2 0;1:0 0;1:0 0;2:0 0;0:1 3;0:2 22;2:0 3;3:1 2
zalas;107 (22);0:1 2;0:1 0;2:0 0;2:0 2;1:1 0;1:0 2;1:0 3;1:1 0;1:1 0;1:0 0;0:2 22;1:1 0;0:1 5;0:1 2;2:0 22;2:0 2;0:2 2;2:0 5;2:0 2;1:1 5;1:0 0;0:3 02;1:1 0;2:0 0;1:0 2;1:0 5;0:2 2;1:1 0;1:2 2;0:1 2;1:0 2;1:1 0;0:1 2;1:0 3;0:1 0;3:0 0;1:2 2;2:0 22;2:1 0;2:1 3;1:2 2;2:0 02;1:2 0;1:0 0;0:1 2;1:0 0;1:2 52;0:1 2;2:1 22;2:1 5
zebaty_dziad;109 (22);0:1 2;0:1 0;2:0 0;1:0 2;2:0 2;2:0 3;2:0 2;0:1 2;2:1 0;2:0 0;0:2 2;1:0 5;0:2 2;1:0 0;2:0 2;2:0 22;0:2 22;2:0 5;2:0 2;1:0 0;3:0 02;0:3 0;0:1 2;3:0 0;1:0 2;2:0 2;0:2 2;0:0 0;0:1 2;0:2 5;1:0 2;0:1 5;0:2 2;0:1 0;0:1 0;3:0 0;0:1 2;2:0 22;1:0 0;1:0 5;0:1 2;2:0 02;2:1 2;1:0 0;0:1 2;1:0 0;0:1 3;0:2 22;3:2 2;2:0 22
